Model,MSO44B
Channel,CH1,,Channel,CH3,,Channel,MATH1
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,28749.50000000,,Zero Index,28749.50000000,,Zero Index,28749.50000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-2.460000,,yPosition,-2.680000,,,

Labels,,,,Labels,
TIME,CH1,CH3,,TIME,MATH1
-9.17072000e-06,-3.35937500e-03,-5.70312500e-02,,-9.17072000e-06,-1.71875004e-02
-9.17040000e-06,-4.06250000e-03,-6.40625000e-02,,-9.17040000e-06,-1.56250000e-02
-9.17008000e-06,-5.62500000e-03,-8.67187500e-02,,-9.17008000e-06,-2.65625007e-02
-9.16976000e-06,-7.10937500e-03,-1.14843750e-01,,-9.16976000e-06,-2.26562507e-02
-9.16944000e-06,-7.03125000e-03,-1.32031250e-01,,-9.16944000e-06,-2.10937504e-02
-9.16912000e-06,-5.07812500e-03,-1.30468750e-01,,-9.16912000e-06,-3.12500000e-02
-9.16880000e-06,-4.14062500e-03,-1.21093750e-01,,-9.16880000e-06,-2.96874996e-02
-9.16848000e-06,-5.62500000e-03,-1.07031250e-01,,-9.16848000e-06,-1.79687496e-02
-9.16816000e-06,-7.50000000e-03,-9.45312500e-02,,-9.16816000e-06,-3.43750007e-02
-9.16784000e-06,-7.57812500e-03,-9.21875000e-02,,-9.16784000e-06,-7.26562515e-02
-9.16752000e-06,-6.25000000e-03,-8.98437500e-02,,-9.16752000e-06,-8.51562470e-02
-9.16720000e-06,-5.39062500e-03,-8.43750000e-02,,-9.16720000e-06,-6.09375015e-02
-9.16688000e-06,-4.76562500e-03,-9.53125000e-02,,-9.16688000e-06,-2.73437500e-02
-9.16656000e-06,-3.12500000e-03,-1.05468750e-01,,-9.16656000e-06,-1.64062493e-02
-9.16624000e-06,-1.64062500e-03,-1.02343750e-01,,-9.16624000e-06,-2.26562507e-02
-9.16592000e-06,-1.56250000e-03,-9.68750000e-02,,-9.16592000e-06,-3.12500005e-03
-9.16560000e-06,-2.65625000e-03,-7.10937500e-02,,-9.16560000e-06,2.89062504e-02
